wilaya_id,wilaya_name,communes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tamanrasset,Tamanrasset 1600/1300,Abalessa 1800/1300,In Ghar 1800/1300,In Guezzam 1900/1300,Idles 1900/1300,Tazrouk 1900/1300,Tin Zaouatine 1900/1300,In Salah 1600/1300,In Amguel 1900/1300,Foggaret Ezzaouia 1900/1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tébessa,Tébessa 950/900,Bir el Ater 950/900,Cheria 1050/900,Stah Guentis 1250/900,El Aouinet 1150/900,El Houidjbet 1050/900,Safsaf El Ouesra 1050/900,Hammamet 1050/900,Negrine 1150/900,Bir Mokkadem 1050/900,El Kouif 1050/900,Morsott 1050/900,El Ogla 1250/900,Bir Dheb 1050/900,Ogla Melha 1150/900,Guorriguer 1150/900,Bekkaria 950/900,Boukhadra 1150/900,Ouenza 1250/900,El Ma Labiodh 1050/900,Oum Ali 1150/900,Tlidjene 1150/900,Aïn Zerga 1050/900,El Meridj 1150/900,Boulhaf Dir 950/900,Bedjene 1250/900,El Mezeraa 1250/900,Ferkane 1250/900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tlemcen,Tlemcen 800/650,Beni Mester 800/650,Aïn Tallout 1000/650,Remchi 800/650,El Fehoul 900/650,Sabra 900/650,Ghazaouet 1000/650,Souani 900/650,Djebala 900/650,El Gor 1000/650,Oued Lakhdar 900/650,Aïn Fezza 800/650,Ouled Mimoun 900/650,Amieur 900/650,Aïn Youcef 800/650,Zenata 800/650,Beni Snous 900/650,Bab El Assa 900/650,Dar Yaghmouracene 1000/650,Fellaoucene 900/650,Azails 900/650,Sebaa Chioukh 900/650,Terny Beni Hdiel 800/650,Bensekrane 900/650,Aïn Nehala 1000/650,Hennaya 800/650,Maghnia 800/650,Hammam Boughrara 800/650,Souahlia 900/650,MSirda Fouaga 1000/650,Aïn Fetah 900/650,El Aricha 1000/650,Souk Tlata 1000/650,Sidi Abdelli 900/650,Sebdou 900/650,Beni Ouarsous 900/650,Sidi Medjahed 800/650,Beni Boussaid 900/650,Marsa Ben M'Hidi 1000/650,Nedroma 900/650,Sidi Djillali 1000/650,Beni Bahdel 900/650,El Bouihi 1000/650,Honaïne 1000/650,Tienet 900/650,Ouled Riyah 900/650,Bouhlou 900/650,Beni Khellad 1000/650,Aïn Ghoraba 900/650,Chetouane 800/650,Mansourah 800/650,Beni Semiel 1000/650,Aïn Kebira 900/650,,,,,,,,,,,,,,
14,Tiaret,Aïn Bouchekif 900/650,Aïn Deheb 1000/650,Aïn El Hadid 1000/650,Aïn Kermes 1000/650,Aïn Dzarit 900/650,Bougara 1000/650,Chehaima 1000/650,Dahmouni 800/650,Djebilet Rosfa 1100/650,Djillali Ben Amar 1000/650,Faidja 1000/650,Frenda 1000/650,Guertoufa 800/650,Hamadia 1000/650,Ksar Chellala 1100/650,Madna 1100/650,Mahdia 1000/650,Mechraa Safa 900/650,Medrissa 1000/650,Medroussa 900/650,Meghila 1000/650,Mellakou 900/650,Nadorah 1000/650,Naima 1000/650,Oued Lilli 900/650,Rahouia 900/650,Rechaiga 1000/650,Sebaine 900/650,Sebt 1000/650,Serghine 1100/650,Si Abdelghani 900/650,Sidi Abderahmane 1100/650,Sidi Ali Mellal 900/650,Sidi Bakhti 1000/650,Sidi Hosni 900/650,Sougueur 900/650,Tagdemt 800/650,Takhemaret 1100/650,Tiaret 800/650,Tidda 900/650,Tousnina 900/650,Zmalet El Emir Abdelkader 1100/650,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tizi Ouzou,Tizi Ouzou 800/650,Ain El Hammam 1000/650,Akbil 1000/650,Freha 800/650,Souamaâ 900/650,Mechtras 1000/650,Irdjen 900/650,Timizart 900/650,Makouda 900/650,Draâ El Mizan 900/650,Tizi Gheniff 1000/650,Bounouh 1000/650,Aït Chafâa 900/650,Frikat 1000/650,Beni Aïssi 800/650,Beni Zmenzer 800/650,Iferhounène 900/650,Azazga 800/650,Illoula Oumalou 900/650,Yakouren 800/650,Larbaâ Nath Irathen 900/650,Tizi Rached 900/650,Zekri 1000/650,Ouaguenoun 900/650,Aïn Zaouia 1000/650,M'Kira 1000/650,Aït Yahia 900/650,Aït Mahmoud 900/650,Mâatkas 900/650,Aït Boumahdi 900/650,Abi Youcef 900/650,Beni Douala 900/650,Illilten 900/650,Bouzguen 900/650,Aït Aggouacha 900/650,Ouadhia 900/650,Azeffoun 900/650,Tigzirt 900/650,Aït Aïssa Mimoun 800/650,Boghni 900/650,Ifigha 800/650,Aït Oumalou 900/650,Tirmitine 800/650,Akerrou 900/650,Yatafen 900/650,Ath Zikki 900/650,Draâ Ben Khedda 800/650,Ouacif 900/650,Idjeur 900/650,Mekla 900/650,Tizi N'Tleta 800/650,Aït Yenni 900/650,Aghribs 800/650,Iflissen 900/650,Boudjima 900/650,Aït Yahia Moussa 900/650,Souk El Thenine 900/650,Aït Khellili 900/650,Sidi Namane 1000/650,Iboudraren 1000/650,Agouni Gueghrane 1000/650,Mizrana 900/650,Imsouhel 900/650,Tadmaït 900/650,Aït Bouadou 1000/650,Assi Youcef 1000/650,Aït Toudert 1000/650
16,Alger,Alger Centre 500/450,Sidi M'Hamed 500/450,El Madania 500/450,Belouizdad 500/450,Bab El Oued 500/450,Bologhine 500/450,Casbah 500/450,Oued Koriche 500/450,Bir Mourad Raïs 500/450,El Biar 500/450,Bouzareah 500/450,Birkhadem 500/450,El Harrach 500/450,Baraki 500/450,Oued Smar 500/450,Bachdjerrah 500/450,Hussein Dey 500/450,Kouba 500/450,Bourouba 500/450,Dar El Beïda 500/450,Bab Ezzouar 500/450,Ben Aknoun 500/450,Dely Ibrahim 500/450,El Hammamet 500/450,Raïs Hamidou 500/450,Djasr Kasentina 500/450,El Mouradia 500/450,Hydra 500/450,Mohammadia 500/450,Bordj El Kiffan 500/450,El Magharia 500/450,Beni Messous 500/450,Les Eucalyptus 500/450,Birtouta 500/450,Tessala El Merdja 500/450,Ouled Chebel 500/450,Sidi Moussa 500/450,Aïn Taya 500/450,Bordj El Bahri 500/450,El Marsa 500/450,H'raoua 500/450,Rouïba 500/450,Reghaïa 500/450,Aïn Benian 500/450,Staoueli 500/450,Zeralda 500/450,Mahelma 500/450,Rahmania 500/450,Souidania 500/450,Cheraga 500/450,Ouled Fayet 500/450,El Achour 500/450,Draria 500/450,Douera 500/450,Baba Hassen 500/450,Khraicia 500/450,Saoula 500/450,,,,,,,,,,
17,Djelfa,Aïn Chouhada 1250/900,Aïn El Ibel 1050/900,Aïn Feka 1150/900,Aïn Maabed 1050/900,Aïn Oussara 950/900,Amourah 1250/900,Benhar 950/900,Beni Yagoub 1150/900,Birine 1050/900,Bouira Lahdab 1150/900,Charef 1150/900,Dar Chioukh 1150/900,Deldoul 1250/900,Djelfa 950/900,Douis 1250/900,El Guedid 1250/900,El Idrissia 1250/900,El Khemis 1050/900,Faidh El Botma 1150/900,Guernini 1050/900,Guettara 1250/900,Had Sahary 1150/900,Hassi Bahbah 1150/900,Hassi El Euch 1150/900,Hassi Fedoul 1150/900,Messaad 1150/900,M'Liliha 1050/900,Moudjebara 1050/900,Oum Laadham 1250/900,Sed Rahal 1250/900,Selmana 1250/900,Sidi Baizid 1150/900,Sidi Ladjel 1050/900,Tadmit 1150/900,Zaafrane 1150/900,Zaccar 1050/900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jijel,Jijel 800/650,Eraguene 1000/650,El Aouana 900/650,Ziama Mansouriah 1000/650,Taher 900/650,Emir Abdelkader 800/650,Chekfa 900/650,Chahna 900/650,El Milia 1000/650,Sidi Maarouf 1000/650,Settara 1000/650,El Ancer 1000/650,Sidi Abdelaziz 900/650,Kaous 800/650,Ghebala 1100/650,Bouraoui Belhadef 1000/650,Djimla 1100/650,Selma Benziada 1000/650,Boucif Ouled Askeur 1000/650,El Kennar Nouchfi 900/650,Ouled Yahia Khedrouche 1000/650,Boudriaa Ben Yadjis 900/650,Kheïri Oued Adjoul 1000/650,Texenna 900/650,Djemaa Beni Habibi 1000/650,Bordj Tahar 900/650,Ouled Rabah 1100/650,Ouadjana 900/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sétif,Aïn Abessa 900/650,Aïn Arnat 800/650,Aïn Azel 1000/650,Aïn El Kebira 900/650,Aïn Lahdjar 900/650,Aïn Legradj 1000/650,Aïn Oulmene 900/650,Aïn Roua 900/650,Aïn Sebt 1000/650,Aït Naoual Mezada 1000/650,Aït Tizi 1000/650,Aït Wertilan 1100/650,Amoucha 900/650,Babor 900/650,Bazer Sakhra 800/650,Beidha Bordj 900/650,Belaa 900/650,Beni Aziz 1000/650,Beni Chebana 1100/650,Beni Fouda 900/650,Beni Hocine 900/650,Beni Mouhli 1100/650,Bir El Arch 800/650,Bir Haddada 900/650,Bouandas 1000/650,Bougaa 1000/650,Bousselam 1000/650,Boutaleb 1000/650,Dehamcha 900/650,Djemila 900/650,Draa Kebila 1000/650,El Eulma 800/650,El Ouldja 900/650,El Ouricia 800/650,Guellal 900/650,Guelta Zerka 800/650,Guenzet 1000/650,Guidjel 900/650,Hamma 1000/650,Hammam Guergour 1000/650,Hammam Soukhna 900/650,Harbil 1000/650,Ksar El Abtal 900/650,Maaouia 900/650,Maoklane 1000/650,Mezloug 800/650,Oued El Barad 1000/650,Ouled Addouane 900/650,Ouled Sabor 800/650,Ouled Si Ahmed 1000/650,Ouled Tebben 1000/650,Rasfa 1000/650,Salah Bey 1000/650,Serdj El Ghoul 1000/650,Sétif 800/650,Tachouda 800/650,Talaifacene 900/650,Taya 900/650,Tella 900/650,Tizi N'Bechar 900/650,,,,,,,
20,Saïda,Aïn El Hadjar 800/650,Aïn Sekhouna 1100/650,Aïn Soltane 1000/650,Doui Thabet 900/650,El Hassasna 900/650,Hounet 1000/650,Maamora 1000/650,Moulay Larbi 900/650,Ouled Brahim 1100/650,Ouled Khaled 800/650,Saïda 800/650,Sidi Ahmed 900/650,Sidi Amar 800/650,Sidi Boubekeur 900/650,Tircine 1000/650,Youb 1000/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Skikda,Aïn Bouziane 1000/650,Aïn Charchar 1000/650,Aïn Kechra 1000/650,Aïn Zouit 900/650,Azzaba 900/650,Bekkouche Lakhdar 1000/650,Bin El Ouiden 1000/650,Ben Azzouz 1000/650,Beni Bechir 800/650,Beni Oulbane 1000/650,Beni Zid 1000/650,Bouchtata 900/650,Cheraia 1000/650,Collo 1000/650,Djendel Saadi Mohamed 900/650,El Ghedir 900/650,El Hadaiek 800/650,El Harrouch 900/650,El Marsa 900/650,Emdjez Edchich 900/650,Es Sebt 1000/650,Filfila 900/650,Hamadi Krouma 800/650,Kanoua 1100/650,Kerkera 1000/650,Kheneg Mayoum 1100/650,Oued Zehour 1100/650,Ouldja Boulballout 1000/650,Ouled Attia 1100/650,Ouled Hbaba 1000/650,Oum Toub 1000/650,Ramdane Djamel 800/650,Salah Bouchaour 900/650,Sidi Mezghiche 900/650,Skikda 800/650,Tamalous 1000/650,Zerdaza 900/650,Zitouna 800/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sidi Bel Abbès,Aïn Adden 1000/650,Aïn El Berd 900/650,Aïn Kada 900/650,Aïn Thrid 800/650,Aïn Tindamine 1000/650,Amarnas 900/650,Badredine El Mokrani 900/650,Belarbi 900/650,Ben Badis 1000/650,Benachiba Chelia 900/650,Bir El Hammam 1100/650,Boudjebaa El Bordj 900/650,Boukhanafis 900/650,Chettouane Belaila 1000/650,Dhaya 1000/650,El Haçaiba 1000/650,Hassi Dahou 900/650,Hassi Zehana 900/650,Lamtar 900/650,Makedra 900/650,Marhoum 1100/650,M'Cid 1000/650,Merine 1000/650,Mezaourou 1000/650,Mostefa Ben Brahim 900/650,Moulay Slissen 1000/650,Oued Sebaa 1100/650,Oued Sefioun 900/650,Oued Taourira 1000/650,Ras El Ma 1100/650,Redjem Demouche 1100/650,Sehala Thaoura 900/650,Sfisef 1000/650,Sidi Ali Benyoub 900/650,Sidi Ali Boussidi 900/650,Sidi Bel Abbes 800/650,Sidi Brahim 800/650,Sidi Chaib 1100/650,Sidi Daho des Zairs 900/650,Sidi Hamadouche 800/650,Sidi Khaled 900/650,Sidi Lahcene 800/650,Sidi Yacoub 900/650,Tabia 900/650,Tafissour 1100/650,Taoudmout 1100/650,Teghalimet 1000/650,Telagh 1000/650,Tenira 1100/650,Tessala 900/650,Tilmouni 800/650,Zerouala 800/650,,,,,,,,,,,,,,,
23,Annaba,Annaba 800/650,Berrahal 900/650,El Hadjar 900/650,Eulma 900/650,El Bouni 800/650,Oued El Aneb 900/650,Cheurfa 800/650,Seraïdi 800/650,Aïn Berda 900/650,Chetaïbi 1000/650,Sidi Amar 800/650,Treat 900/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Guelma,Aïn Ben Beida 900/650,Aïn Larbi 800/650,Aïn Makhlouf 1000/650,Aïn Reggada 900/650,Aïn Sandel 900/650,Belkheir 800/650,Ben Djerrah 800/650,Beni Mezline 900/650,Bordj Sabath 1000/650,Bouhachana 900/650,Bouhamdane 900/650,Bouati Mahmoud 900/650,Bouchegouf 900/650,Boumahra Ahmed 800/650,Dahouara 1000/650,Djeballah Khemissi 800/650,El Fedjoudj 800/650,Guellat Bou Sbaa 800/650,Guelma 800/650,Hammam Debagh 900/650,Hammam N'Bail 900/650,Héliopolis 800/650,Houari Boumédiène 900/650,Khezarra 900/650,Medjez Amar 800/650,Medjez Sfa 1000/650,Nechmaya 900/650,Oued Cheham 1000/650,Oued Fragha 1000/650,Oued Zenati 900/650,Ras El Agba 900/650,Roknia 900/650,Sellaoua Announa 900/650,Tamlouka 1000/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Constantine,Aïn Abid 1000/650,Aïn Smara 900/650,Beni Hamiden 900/650,Constantine 800/650,Didouche Mourad 900/650,El Khroub 800/650,Hamma Bouziane 900/650,Ibn Badis 900/650,Ibn Ziad 900/650,Messaoud Boudjriou 900/650,Ouled Rahmoune 900/650,Zighoud Youcef 900/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Médéa,Aïn Boucif 1000/650,Aïn Ouksir 1100/650,Aissaouia 1000/650,Aziz 1100/650,Baata 1000/650,Benchicao 900/650,Beni Slimane 1000/650,Berrouaghia 900/650,Bir Ben Laabed 1000/650,Boghar 1000/650,Bou Aiche 1100/650,Bouaichoune 900/650,Bouchrahil 900/650,Boughezoul 1100/650,Bouskene 1000/650,Chahbounia 1100/650,Chellalet El Adhaoura 1100/650,Cheniguel 1100/650,Derrag 1100/650,Deux Bassins 1100/650,Djouab 1100/650,Draa Essamar 800/650,El Azizia 1100/650,El Guelb El Kebir 1000/650,El Hamdania 900/650,El Omaria 900/650,El Ouinet 1000/650,Hannacha 900/650,Kef Lakhdar 1100/650,Khams Djouamaa 1000/650,Ksar Boukhari 1000/650,Meghraoua 1100/650,Médéa 800/650,Moudjbar 1000/650,Meftaha 1000/650,Mezerana 1100/650,Mihoub 1100/650,Ouamri 900/650,Oued Harbil 900/650,Ouled Antar 1100/650,Ouled Bouachra 900/650,Ouled Brahim 1100/650,Ouled Deide 900/650,Ouled Hellal 1100/650,Ouled Maaref 1000/650,Oum El Djalil 1100/650,Ouzera 800/650,Rebaia 1000/650,Saneg 1100/650,Sedraia 1100/650,Seghouane 1000/650,Si Mahdjoub 900/650,Sidi Damed 1100/650,Sidi Errabia 1000/650,Sidi Naamanez 900/650,Sidi Zahar 1000/650,Sidi Ziane 1000/650,Souagui 1000/650,Tablat 1100/650,Tafraout 1100/650,Tamesguida 800/650,Tizi Mahdi 900/650,Tlatet Eddouar 900/650,Zoubiria 900/650,,,
27,Mostaganem,Abdelmalek Ramdane 900/650,Achaacha 1000/650,Aïn Boudinar 800/650,Aïn Nouissy 900/650,Aïn Sidi Cherif 900/650,Aïn Tedles 900/650,Blad Touahria 900/650,Bouguirat 900/650,El Hassaine 900/650,Fornaka 900/650,Hadjadj 900/650,Hassi Mameche 800/650,Khadra 1000/650,Kheireddine 800/650,Mansourah 800/650,Mesra 800/650,Mazagran 800/650,Mostaganem 800/650,Nekmaria 1000/650,Oued El Kheir 900/650,Ouled Boughalem 1100/650,Ouled Maallah 1000/650,Safsaf 900/650,Sayada 800/650,Sidi Ali 1000/650,Sidi Belattar 900/650,Sidi Lakhdar 1000/650,Sirat 900/650,Souaflia 900/650,Sour 900/650,Stidia 900/650,Tazgait 1000/650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,M'Sila,Aïn El Hadjel 1000/650,Aïn El Melh 1100/650,Aïn Errich 1100/650,Aïn Fares 800/650,Aïn Khadra 1000/650,Belaiba 1000/650,Ben Srour 1100/650,Beni Ilmane 1000/650,Benzouh 1000/650,Berhoum 1000/650,Bir Foda 1100/650,Bou Saâda 1000/650,Bouti Sayah 1100/650,Chellal 900/650,Dehahna 1000/650,Djebel Messaad 1000/650,El Hamel 1100/650,El Houamed 1000/650,Hammam Dhalaa 900/650,Khettouti Sed El Djir 1000/650,Khoubana 1000/650,Maadid 900/650,Maarif 900/650,Magra 1000/650,M'Cif 1100/650,Medjedel 1100/650,Mohammed Boudiaf 1100/650,M'Sila 800/650,M'Tarfa 800/650,Ouanougha 1000/650,Ouled Addi Guebala 900/650,Ouled Atia 1100/650,Ouled Derradj 900/650,Ouled Madhi 900/650,Ouled Mansour 900/650,Ouled Sidi Brahim 1000/650,Ouled Slimane 1100/650,Oultem 1000/650,Sidi Aïssa 1100/650,Sidi Ameur 1000/650,Sidi Hadjeres 1000/650,Sidi M'Hamed 800/650,Slim 1100/650,Souamaa 900/650,Tamsa 1100/650,Tarmount 900/650,Zarzour 1100/650,,,,,,,,,,,,,,,,,,,,
